main_artist,id,name,popularity,genres
The Notorious B.I.G.,3WilJWdCNLSU7fpYjiKb7v,Pusha T,69,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
Fat Joe,7iMvwE8qANp3aIfAGKEAwS,Lupe Fiasco,63,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']"
Ja Rule,14ejEUaU0wE2iAenbbv9b8,Denzel Curry,67,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
Ludacris,2Jwr7hGoSNK3S3QBxh3T0z,Chance the Rapper,70,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
2Pac,0mbgkaYR8KNUb5s3s1yYHG,A$AP Rocky,79,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
Busta Rhymes,0P8YNJXX7QeQ8iZIUCXJgi,Earl Sweatshirt,67,"['alternative hip hop', 'drumless hip hop', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']"
N.W.A.,1g8uGVofjr2ApBrI8OZhJf,Vince Staples,64,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']"
Nate Dogg,6Uh8uJyN9g7oFjDK16nJgb,Mac Miller,80,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
T.I.,6AMa1VFQ7qCi61tCRtVWXe,A$AP Ferg,68,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
D12,4jWzNq3sdzSpqn7BnzvIKn,Baby Keem,75,"['hip hop', 'rap']"
JAY-Z,64ovxBmjJ9ZDqkzEXVWpVc,Isaiah Rashad,65,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
Diddy,4GMgdB3vwbBOc42hbXEi9p,A$AP Mob,55,"['hip hop', 'rap', 'southern hip hop', 'trap']"
